Partial_Entity_Name,State,State_Short,Full_Entity_Name,Match_Status,Matched_Name,Confidence_Score,Match_Stage,Context_Notes,Top_3_Candidates
TEMECULA VALLEY USD,California,CA,CA-TEMECULA VALLEY USD,Matched,CA-TEMECULA VALLEY UNIFIED SCHOOL DISTRICT,1.0,exact,,
TOWN OF ROSS,California,CA,CA-TOWN OF ROSS,Matched,CA-TOWN OF ROSS,1.0,exact,,
TWIN HILLS UNION SD,California,CA,CA-TWIN HILLS UNION SD,Matched,CA-TWIN HILLS UNION SCHOOL DISTRICT,1.0,exact,,
UKIAH USD,California,CA,CA-UKIAH USD,Matched,CA-UKIAH UNIFIED SCHOOL DISTRICT,1.0,exact,,
UNIVERSITY OF CALIFORNIA DAVIS,California,CA,CA-UNIVERSITY OF CALIFORNIA DAVIS,Matched,CA-UNIVERSITY OF CALIFORNIA DAVIS,1.0,exact,,
VACAVILLE USD,California,CA,CA-VACAVILLE USD,Matched,CA-VACAVILLE UNIFIED SCHOOL DISTRICT,1.0,exact,,
VISALIA USD,California,CA,CA-VISALIA USD,Matched,CA-VISALIA UNIFIED SCHOOL DISTRICT,1.0,exact,,
CITY OF FALLS CHURCH,Virginia,VA,VA-CITY OF FALLS CHURCH,Matched,VA-CITY OF FALLS CHURCH,1.0,exact,,
CITY OF BARTLESVILLE,Oklahoma,OK,OK-CITY OF BARTLESVILLE,Matched,OK-CITY OF BARTLESVILLE,1.0,exact,,
CITY OF BROKEN ARROW,Oklahoma,OK,OK-CITY OF BROKEN ARROW,Matched,OK-CITY OF BROKEN ARROW,1.0,exact,,
CITY OF EDMOND,Oklahoma,OK,OK-CITY OF EDMOND,Matched,OK-CITY OF EDMOND,1.0,exact,,
CITY OF NORMAN,Oklahoma,OK,OK-CITY OF NORMAN,Matched,OK-CITY OF NORMAN,1.0,exact,,
CITY OF TAHLEQUAH,Oklahoma,OK,OK-CITY OF TAHLEQUAH,Matched,OK-CITY OF TAHLEQUAH,1.0,exact,,
DEER CREEK SD,Oklahoma,OK,OK-DEER CREEK SD,Matched,OK-DEER CREEK SCHOOL DISTRICT,1.0,exact,,
WOODBINE ELEMENTARY SCHOOL,New Jersey,NJ,NJ-WOODBINE ELEMENTARY SCHOOL,Matched,NJ-WOODBINE ELEMENTARY SCHOOL,1.0,exact,,
UNIVERSITY OF NEW MEXICO,New Mexico,NM,NM-UNIVERSITY OF NEW MEXICO,Matched,NM-UNIVERSITY OF NEW MEXICO,1.0,exact,,
BALLSTON SPA CSD,New York,NY,NY-BALLSTON SPA CSD,Matched,NY-BALLSTON SPA CSD,1.0,exact,,
BATAVIA CITY SD,New York,NY,NY-BATAVIA CITY SD,Matched,NY-BATAVIA CITY SCHOOL DISTRICT,1.0,exact,,
WESTERN NEBRASKA COMMUNITY COLLEGE,Nebraska,NE,NE-WESTERN NEBRASKA COMMUNITY COLLEGE,Matched,NE-WESTERN NEBRASKA COMMUNITY COLLEGE,1.0,exact,,
CITY OF FERNLEY,Nevada,NV,NV-CITY OF FERNLEY,Matched,NV-CITY OF FERNLEY,1.0,exact,,
CLARK COUNTY SD,Nevada,NV,NV-CLARK COUNTY SD,Matched,NV-CLARK COUNTY SCHOOL DISTRICT,1.0,exact,,
LYON COUNTY SD,Nevada,NV,NV-LYON COUNTY SD,Matched,NV-LYON COUNTY SCHOOL DISTRICT,1.0,exact,,
WASHOE COUNTY SD,Nevada,NV,NV-WASHOE COUNTY SD,Matched,NV-WASHOE COUNTY SCHOOL DISTRICT,1.0,exact,,
VICTORIA ISD,Texas,TX,TX-VICTORIA ISD,Matched,TX-VICTORIA ISD,1.0,exact,,
WASKOM ISD,Texas,TX,TX-WASKOM ISD,Matched,TX-WASKOM ISD,1.0,exact,,
WESTBROOK ISD,Texas,TX,TX-WESTBROOK ISD,Matched,TX-WESTBROOK ISD,1.0,exact,,
WESTERN PLACER USD,California,CA,CA-WESTERN PLACER USD,Matched,CA-WESTERN PLACER UNIFIED SCHOOL DISTRICT,1.0,exact,,
WESTMINSTER SD,California,CA,CA-WESTMINSTER SD,Matched,CA-WESTMINSTER SCHOOL DISTRICT,1.0,exact,,
YOSEMITE COMMUNITY COLLEGE DISTRICT,California,CA,CA-YOSEMITE COMMUNITY COLLEGE DISTRICT,Matched,CA-YOSEMITE COMMUNITY COLLEGE DISTRICT,1.0,exact,,
SAN MATEO-FOSTER CITY SD,California,CA,CA-SAN MATEO-FOSTER CITY SD,Matched,CA-SAN MATEO-FOSTER CITY SCHOOL DISTRICT,1.0,exact,,
SANTA CLARA USD,California,CA,CA-SANTA CLARA USD,Matched,CA-SANTA CLARA UNIFIED SCHOOL DISTRICT,1.0,exact,,
SIMI VALLEY USD,California,CA,CA-SIMI VALLEY USD,Matched,CA-SIMI VALLEY UNIFIED SCHOOL DISTRICT,1.0,exact,,
TOWN OF WATERTOWN,Connecticut,CT,CT-TOWN OF WATERTOWN,Matched,CT-TOWN OF WATERTOWN,1.0,exact,,
CITY OF BOCA RATON,Florida,FL,FL-CITY OF BOCA RATON,Matched,FL-CITY OF BOCA RATON,1.0,exact,,
